href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['26,', 'female', '']",13.0,academic,usa,2.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,mandarin2,female,"['nanjing,', 'china']","mandarin
(cmn)","['japanese', '']","['38,', 'female', '']",14.0,academic,usa,0.8,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3,male,"['jilin,', 'china']","mandarin
(cmn)","['italian', 'german', 'french', '']","['43,', 'male', '']",10.0,academic,usa,14.0,43.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,mandarin4,female,"['shanghai,', 'china']","mandarin
(cmn)","['japanese', '']","['24,', 'female', '']",6.0,academic,usa,1.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,mandarin5,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['31,', 'female', '']",12.0,academic,usa,2.0,31.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,mandarin6,female,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['28,', 'female', '']",12.0,academic,usa,5.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7,male,"['california,', 'usa']","mandarin
(cmn)","['mandarin', '']","['22,', 'male', '']",5.0,naturalistic,usa,22.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8,male,"['hubei,', 'china']","mandarin
(cmn)",['none'],"['29,', 'male', '']",12.0,academic,usa,5.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9,male,"['shanghai,', 'china']","mandarin
(cmn)",['none'],"['38,', 'male', '']",12.0,academic,usa,2.0,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=607,mandarin11,female,"['kao-hsiung,', 'taiwan']","mandarin
(cmn)","['cantonese', '']","['53,', 'female', '']",13.0,academic,usa,33.0,53.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14,male,"['liaoning,', 'china']","mandarin
(cmn)",['none'],"['49,', 'male', '']",20.0,academic,usa,21.0,49.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,"['tainan,', 'taiwan']","mandarin
(cmn)","['french', 'swedish', 'japanese', '']","['28,', 'female', '']",11.0,academic,usa,4.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=750,mandarin16,male,"['taipei,', 'taiwan']","mandarin
(cmn)","['taiwanese', 'japanese', '']","['32,', 'male', '']",10.0,academic,usa,1.35,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=931,mandarin20,female,"['tong,', 'taiwan']","mandarin
(cmn)","['russian', '']","['40,', 'female', '']",12.0,academic,usa,5.0,40.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=984,mandarin21,female,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['38,', 'female', '']",9.0,academic,usa,13.0,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1019,mandarin22,female,"['hainan,', 'china']","mandarin
(cmn)","['cantonese', 'taiwanese', '']","['39,', 'female', '']",11.0,academic,usa,3.0,39.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1044,mandarin23,female,"['kao-hsiung,', 'taiwan']","mandarin
(cmn)","['cantonese', 'taiwanese', '']","['46,', 'female', '']",13.0,academic,usa,22.0,46.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1125,mandarin25,female,"['jiangsu,', 'china']","mandarin
(cmn)","['german', '']","['28,', 'female', '']",13.0,academic,usa,0.8,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1141,mandarin26,female,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['31,', 'female', '']",12.0,academic,usa,3.0,31.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1154,mandarin27,male,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['18,', 'male', '']",15.0,academic,usa,3.0,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1447,mandarin28,male,"['shanghai,', 'china']","mandarin
(cmn)",['none'],"['45,', 'male', '']",15.0,academic,usa,20.0,45.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1491,mandarin30,male,"['taipei,', 'taiwan']","mandarin
(cmn)",['none'],"['27,', 'male', '']",13.0,academic,usa,1.0,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1519,mandarin31,female,"['zhejiang,', 'china']","mandarin
(cmn)",['none'],"['26,', 'female', '']",13.0,academic,usa,2.5,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1527,mandarin32,female,"['taipei,', 'taiwan']","mandarin
(cmn)","['japanese', '']","['23,', 'female', '']",12.0,academic,usa,2.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1541,mandarin33,male,"['beijing,', 'china']","mandarin
(cmn)","['french', '']","['25,', 'male', '']",6.0,naturalistic,usa,20.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1582,mandarin38,female,"['hunan,', 'china']","mandarin
(cmn)",['none'],"['33,', 'female', '']",12.0,academic,usa,0.1,33.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1614,mandarin40,male,"['sichuan,', 'china']","mandarin
(cmn)","['japanese', 'thai', '']","['28,', 'male', '']",12.0,academic,usa,9.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1630,mandarin44,male,"['zhejiang,', 'china']","mandarin
(cmn)",['none'],"['21,', 'male', '']",16.0,academic,usa,1.5,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1631,mandarin45,female,"['beijing,', 'china']","mandarin
(cmn)",['none'],"['42,', 'female', '']",12.0,academic,usa,0.1,42.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1788,mandarin50,male,"['hsinchu,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","['25,', 'male', '']",9.0,academic,usa,0.2,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1792,mandarin51,male,"['hebei,', 'china']","mandarin
(cmn)",['none'],"['25,', 'male', '']",10.0,academic,usa,2.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1793,mandarin52,female,"['zhejiang,', 'china']","mandarin
(cmn)","['japanese', '']","['26,', 'female', '']",6.0,academic,usa,1.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1817,mandarin53,female,"['zhejiang,', 'china']","mandarin
(cmn)",['none'],"['38,', 'female', '']",13.0,academic,usa,15.0,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1900,mandarin54,female,"['sichuan,', 'china']","mandarin
(cmn)","['japanese', '']","['25,', 'female', '']",10.0,academic,usa,5.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1909,mandarin55,female,"['hunan,', 'china']","mandarin
(cmn)","['japanese', 'spanish', '']","['25,', 'female', '']",13.0,academic,usa,1.5,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1910,mandarin56,female,"['hebei,', 'china']","mandarin
(cmn)","['korean', 'thai', '']","['26,', 'female', '']",11.0,academic,usa,0.7,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2000,mandarin58,male,"['colorado,', 'usa']","mandarin
(cmn)","['french', '']","['23,', 'male', '']",7.0,naturalistic,usa,16.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2019,mandarin59,female,"['yunnan,', 'china']","mandarin
(cmn)",['none'],"['20,', 'female', '']",6.0,academic,usa,0.4,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2109,mandarin60,female,"['guizhou,', 'china']","mandarin
(cmn)","['cantonese', '']","['41,', 'female', '']",13.0,academic,usa,15.0,41.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2117,mandarin62,male,"['shanghai,', 'china']","mandarin
(cmn)","['spanish', '']","['24,', 'male', '']",7.0,academic,usa,5.5,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2119,mandarin63,male,"['henan,', 'china']","mandarin
(cmn)","['french', '']","['27,', 'male', '']",12.0,academic,usa,4.3,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2129,mandarin64,female,"['fujian,', 'china']","mandarin
(cmn)","['min', 'dong', '']","['24,', 'female', '']",10.0,academic,usa,5.0,24.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2173,mandarin65,female,"['hebei,', 'china']","mandarin
(cmn)","['french', '']","['20,', 'female', '']",5.0,academic,usa,1.7,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2252,mandarin66,female,"['shanghai,', 'china']","mandarin
(cmn)","['spanish', '']","['22,', 'female', '']",19.0,academic,usa,3.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2291,mandarin70,female,"['shanghai,', 'china']","mandarin
(cmn)","['japanese', '']","['21,', 'female', '']",8.0,academic,usa,2.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2294,mandarin71,female,"['sichuan,', 'china']","mandarin
(cmn)","['french', '']","['20,', 'female', '']",6.0,academic,usa,0.2,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2306,mandarin72,female,"['taichung,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","['22,', 'female', '']",10.0,academic,usa,10.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2319,mandarin73,female,"['sichuan,', 'china']","mandarin
(cmn)",['none'],"['27,', 'female', '']",10.0,academic,usa,10.0,27.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2323,mandarin74,male,"['shenzhen,', 'china']","mandarin
(cmn)",['none'],"['19,', 'male', '']",13.0,naturalistic,usa,4.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2332,mandarin75,male,"['taipei,', 'taiwan']","mandarin
(cmn)","['taiwanese', '']","['20,', 'male', '']",13.0,naturalistic,usa,6.5,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2348,mandarin76,male,"['henan,', 'china']","mandarin
(cmn)",['none'],"['29,', 'male', '']",12.0,academic,usa,5.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2413,mandarin80,male,"['shanxi,', 'china']","mandarin
(cmn)",['none'],"['21,', 'male', '']",10.0,academic,usa,1.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2414,mandarin81,female,"['jiangsu,', 'china']","mandarin
(cmn)",['none'],"['22,', 'female', '']",10.0,academic,usa,0.1,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=2418,mandarin82,female,"['wuhai,', 'china']","mandarin
(cmn)",['none'],"['23,', 'female', '']",13.0,academic,usa,0.1,23.0
